Node_ID,Top_1,Top_2,Top_3,Top_4,Top_5
58,"(1708, 0.6495797634124756)","(2987, 0.6476125121116638)","(17714, 0.6461800932884216)","(958, 0.6453102827072144)","(17713, 0.6447957158088684)"
59,"(1708, 0.6599496006965637)","(2987, 0.656853437423706)","(17714, 0.6560475826263428)","(958, 0.6549854278564453)","(17713, 0.6546552777290344)"
60,"(1708, 0.6620880365371704)","(2987, 0.660001814365387)","(958, 0.6586930751800537)","(17714, 0.6580397486686707)","(17713, 0.6566781401634216)"
61,"(1708, 0.6462240815162659)","(2987, 0.6441923379898071)","(17714, 0.6429815292358398)","(958, 0.6428195834159851)","(17713, 0.6417809724807739)"
62,"(1708, 0.6525142192840576)","(2987, 0.6487202048301697)","(17714, 0.6487007737159729)","(17713, 0.6471947431564331)","(958, 0.646155059337616)"
63,"(1107, 0.9765742421150208)","(877, 0.9745659828186035)","(128, 0.9739589095115662)","(1106, 0.9730839133262634)","(484, 0.9726837277412415)"
64,"(877, 0.9739906787872314)","(128, 0.9687907695770264)","(484, 0.9669896960258484)","(2599, 0.9667837023735046)","(1107, 0.966536283493042)"
65,"(877, 0.9713521003723145)","(1107, 0.9700724482536316)","(128, 0.9693846702575684)","(350, 0.9687850475311279)","(351, 0.9657695293426514)"
66,"(958, 0.6565978527069092)","(959, 0.6560015678405762)","(348, 0.6360020041465759)","(1541, 0.6347616910934448)","(347, 0.6343591809272766)"
67,"(958, 0.6581743359565735)","(959, 0.6570152640342712)","(1541, 0.6364131569862366)","(1540, 0.6362321376800537)","(348, 0.6361302137374878)"
68,"(14376, 0.9879819750785828)","(17712, 0.9873328804969788)","(1795, 0.9871322512626648)","(3423, 0.9867189526557922)","(12, 0.9865224361419678)"
69,"(761, 0.8827739357948303)","(760, 0.8487523794174194)","(571, 0.8341614007949829)","(1215, 0.8306047916412354)","(1088, 0.8281853199005127)"
70,"(710, 0.9408892393112183)","(1215, 0.9145438075065613)","(1216, 0.9107485413551331)","(1217, 0.9051541090011597)","(806, 0.9009610414505005)"
71,"(710, 0.9469172358512878)","(1215, 0.9103059768676758)","(1216, 0.9038903713226318)","(1217, 0.8974030017852783)","(806, 0.8941059708595276)"
72,"(710, 0.9520569443702698)","(1215, 0.9082971811294556)","(1216, 0.9042612910270691)","(806, 0.9009515643119812)","(1217, 0.896066427230835)"
73,"(5261, 0.8152167797088623)","(2058, 0.81022047996521)","(10523, 0.7888615131378174)","(710, 0.7692992687225342)","(8190, 0.7690963745117188)"
74,"(8714, 0.9970917105674744)","(5588, 0.9969022274017334)","(3474, 0.996755838394165)","(11461, 0.9966674447059631)","(5587, 0.9965508580207825)"
75,"(8714, 0.9969524145126343)","(5588, 0.9965634942054749)","(3474, 0.9964538812637329)","(5587, 0.99636310338974)","(8713, 0.9962763786315918)"
76,"(15527, 0.6715665459632874)","(15526, 0.6665006279945374)","(1039, 0.6625578999519348)","(1038, 0.6591266989707947)","(12885, 0.6579468250274658)"
77,"(15527, 0.6721371412277222)","(15526, 0.6669580936431885)","(1039, 0.6634079217910767)","(1038, 0.6601371765136719)","(12885, 0.6592519879341125)"
78,"(5636, 0.6412469148635864)","(5633, 0.6409332156181335)","(5635, 0.6407585144042969)","(729, 0.634595513343811)","(5634, 0.6341102719306946)"
79,"(5633, 0.6408895254135132)","(5635, 0.6406959295272827)","(5636, 0.6406071782112122)","(729, 0.6355870962142944)","(728, 0.6342703104019165)"
80,"(5633, 0.6413560509681702)","(5636, 0.6412405371665955)","(5635, 0.6411643028259277)","(729, 0.6355750560760498)","(4369, 0.6347183585166931)"
81,"(5092, 0.697953999042511)","(5093, 0.6952012777328491)","(5091, 0.6925825476646423)","(993, 0.6778441071510315)","(9422, 0.6718675494194031)"
82,"(12493, 0.8749443888664246)","(12494, 0.8744238018989563)","(12492, 0.8646636605262756)","(4092, 0.8644182682037354)","(4093, 0.8636316061019897)"
83,"(4092, 0.8758852481842041)","(4093, 0.8758584260940552)","(998, 0.8721356987953186)","(12493, 0.8672265410423279)","(906, 0.8657240867614746)"
84,"(104, 0.6544066071510315)","(105, 0.6539700627326965)","(7756, 0.6479867696762085)","(5523, 0.6474898457527161)","(831, 0.6444575190544128)"
85,"(104, 0.653896152973175)","(105, 0.6533831357955933)","(5523, 0.64726722240448)","(7756, 0.6472427845001221)","(4894, 0.6444091200828552)"
86,"(17713, 0.6529432535171509)","(17714, 0.6452464461326599)","(1785, 0.6433014869689941)","(1786, 0.641283392906189)","(9645, 0.6400474309921265)"
87,"(17713, 0.6527730822563171)","(17714, 0.6449012756347656)","(1785, 0.6430240869522095)","(1786, 0.6410617828369141)","(14207, 0.6401159763336182)"
88,"(17713, 0.6534762978553772)","(17714, 0.6454111933708191)","(1785, 0.6452094316482544)","(1786, 0.6432018280029297)","(9645, 0.6393147110939026)"
89,"(5636, 0.6565619111061096)","(5635, 0.6550102829933167)","(5634, 0.6530579924583435)","(5633, 0.6526938080787659)","(958, 0.6487454771995544)"
90,"(5636, 0.6574923992156982)","(5635, 0.6556760668754578)","(5634, 0.6538701057434082)","(5633, 0.6533142924308777)","(958, 0.6505425572395325)"
91,"(5636, 0.6579248309135437)","(5635, 0.6561717987060547)","(5634, 0.6541488766670227)","(5633, 0.6536451578140259)","(958, 0.6507735848426819)"
92,"(5636, 0.6560677289962769)","(5635, 0.6544862389564514)","(5634, 0.6527819633483887)","(5633, 0.6520481109619141)","(958, 0.6486285924911499)"
93,"(12892, 0.6472201943397522)","(3680, 0.6447297930717468)","(12893, 0.6427394151687622)","(3679, 0.6405789256095886)","(9474, 0.639504611492157)"
94,"(12892, 0.6467505097389221)","(3680, 0.6443575620651245)","(12893, 0.6423222422599792)","(3679, 0.6398871541023254)","(9474, 0.6388232707977295)"
95,"(12892, 0.6478832364082336)","(3680, 0.6442978978157043)","(12893, 0.6432094573974609)","(3679, 0.6401902437210083)","(2814, 0.639051079750061)"
96,"(12892, 0.6471542716026306)","(3680, 0.6437543034553528)","(12893, 0.6419909596443176)","(3679, 0.6393544673919678)","(9474, 0.6380214691162109)"
97,"(12892, 0.6476905941963196)","(3680, 0.6439794898033142)","(12893, 0.6430932283401489)","(3679, 0.6397038102149963)","(9474, 0.6392617225646973)"
98,"(12892, 0.647300124168396)","(3680, 0.6444880962371826)","(12893, 0.6428385972976685)","(3679, 0.6402488946914673)","(2814, 0.6390939354896545)"
99,"(9754, 0.7558643221855164)","(9757, 0.7482280135154724)","(9755, 0.7462515234947205)","(9752, 0.7456902265548706)","(9756, 0.7432959079742432)"
100,"(1021, 0.9004244208335876)","(1017, 0.8858271837234497)","(1672, 0.8848865032196045)","(2073, 0.8824524879455566)","(1018, 0.8785597681999207)"
101,"(1021, 0.9017025232315063)","(1017, 0.8856690526008606)","(2073, 0.8840023279190063)","(1672, 0.8835915923118591)","(1018, 0.8767991662025452)"
102,"(1021, 0.9011156558990479)","(1672, 0.8812470436096191)","(2073, 0.8801267743110657)","(1017, 0.8771020770072937)","(1018, 0.8700534701347351)"
103,"(153, 0.860353410243988)","(899, 0.7332885265350342)","(900, 0.7276641726493835)","(14914, 0.7274280190467834)","(901, 0.7255721688270569)"
104,"(977, 0.9878636598587036)","(2606, 0.9878498911857605)","(974, 0.9876011610031128)","(975, 0.9867566227912903)","(2605, 0.9864857792854309)"
105,"(2606, 0.9886429905891418)","(974, 0.9873592257499695)","(977, 0.9870094656944275)","(2605, 0.9869584441184998)","(975, 0.9865238666534424)"
106,"(1686, 0.9819919466972351)","(493, 0.9803598523139954)","(494, 0.9760727286338806)","(1685, 0.9744511246681213)","(2905, 0.9724194407463074)"
107,"(1686, 0.9845399856567383)","(2905, 0.9809269905090332)","(368, 0.9792633056640625)","(494, 0.9791613221168518)","(493, 0.9786306619644165)"
108,"(2905, 0.9792705178260803)","(493, 0.9780990481376648)","(494, 0.977034330368042)","(915, 0.974960446357727)","(2904, 0.9736672639846802)"
109,"(493, 0.9825471043586731)","(494, 0.9735285639762878)","(319, 0.9732567667961121)","(1686, 0.9715020656585693)","(2905, 0.9708581566810608)"
110,"(753, 0.8518201112747192)","(737, 0.8283714056015015)","(10277, 0.6673083305358887)","(4142, 0.6433823704719543)","(4144, 0.6421539187431335)"
111,"(680, 0.9919722676277161)","(328, 0.9917382597923279)","(178, 0.9912717342376709)","(10806, 0.9902905225753784)","(10807, 0.9888392090797424)"
112,"(159, 0.9078438878059387)","(8119, 0.76966392993927)","(1729, 0.7670430541038513)","(6182, 0.7661367654800415)","(3069, 0.765602707862854)"
113,"(1060, 0.954811692237854)","(2599, 0.952370285987854)","(1061, 0.9507850408554077)","(2600, 0.9492742419242859)","(1603, 0.9437074661254883)"
114,"(1880, 0.8875322937965393)","(1881, 0.8866235613822937)","(5451, 0.8816685080528259)","(2816, 0.8526018857955933)","(2404, 0.8448371291160583)"
115,"(1400, 0.9928426742553711)","(1053, 0.9908192157745361)","(1052, 0.9896940588951111)","(5406, 0.9720834493637085)","(3072, 0.960888147354126)"
116,"(831, 0.6514760255813599)","(832, 0.6462336778640747)","(4066, 0.6420585513114929)","(14207, 0.6394639015197754)","(4065, 0.6394107341766357)"
117,"(831, 0.6516410112380981)","(832, 0.6462875008583069)","(4066, 0.6406747102737427)","(14207, 0.6399298906326294)","(4065, 0.6378305554389954)"
118,"(831, 0.6508637070655823)","(832, 0.6457945704460144)","(4066, 0.641747772693634)","(14207, 0.6403527855873108)","(4065, 0.6391802430152893)"
119,"(831, 0.65082186460495)","(832, 0.6458371877670288)","(4066, 0.640777587890625)","(14207, 0.6383856534957886)","(4065, 0.6380955576896667)"
120,"(381, 0.9984517693519592)","(14208, 0.6429421901702881)","(14207, 0.6416584849357605)","(14048, 0.6383194327354431)","(14046, 0.6381015777587891)"
121,"(381, 0.9981834888458252)","(14208, 0.643946647644043)","(14207, 0.6423019170761108)","(14048, 0.6388486623764038)","(14046, 0.6381900310516357)"
122,"(14208, 0.6449079513549805)","(14207, 0.6432410478591919)","(14048, 0.6404511332511902)","(14046, 0.640278160572052)","(4894, 0.63996422290802)"
123,"(11480, 0.8056438565254211)","(2896, 0.714606523513794)","(1549, 0.70830237865448)","(16921, 0.6630203127861023)","(2898, 0.6534470319747925)"
124,"(4515, 0.9161623120307922)","(2976, 0.9026663899421692)","(2977, 0.8978051543235779)","(7034, 0.8958141803741455)","(6693, 0.8917240500450134)"
125,"(4515, 0.9028451442718506)","(2977, 0.8881652355194092)","(15586, 0.8873190879821777)","(7034, 0.8849598169326782)","(2976, 0.8785315752029419)"
126,"(4515, 0.8944817781448364)","(7034, 0.8855658769607544)","(6693, 0.8776134848594666)","(7035, 0.8770168423652649)","(2977, 0.8720725774765015)"
127,"(4515, 0.9062535166740417)","(2976, 0.8937551975250244)","(7034, 0.8861566185951233)","(2977, 0.8838763236999512)","(15586, 0.8799048066139221)"
128,"(736, 0.9890161752700806)","(877, 0.9889640808105469)","(2600, 0.9878128170967102)","(484, 0.9869738221168518)","(1106, 0.9855614304542542)"
129,"(10807, 0.9855974912643433)","(985, 0.9845517873764038)","(10806, 0.9841657280921936)","(3088, 0.983306348323822)","(939, 0.9825648069381714)"
130,"(3304, 0.9710891842842102)","(244, 0.9693542122840881)","(243, 0.968245804309845)","(883, 0.966720700263977)","(6329, 0.965879499912262)"
131,"(3304, 0.9737769961357117)","(6329, 0.9723577499389648)","(883, 0.9691794514656067)","(3306, 0.9681457877159119)","(694, 0.9674783945083618)"
132,"(3304, 0.9758388996124268)","(6329, 0.9719387888908386)","(883, 0.971031665802002)","(3306, 0.9695584774017334)","(694, 0.9685452580451965)"
133,"(9633, 0.85053551197052)","(8985, 0.711961030960083)","(2693, 0.7094796299934387)","(2691, 0.7081207633018494)","(8986, 0.7018535733222961)"
134,"(317, 0.96053147315979)","(1630, 0.9586756229400635)","(1631, 0.9550943970680237)","(318, 0.9521449208259583)","(841, 0.9478815197944641)"
135,"(317, 0.9598032832145691)","(841, 0.9574505090713501)","(1887, 0.9547869563102722)","(318, 0.952570378780365)","(6450, 0.9519485831260681)"
136,"(317, 0.9572612047195435)","(1630, 0.9550086259841919)","(841, 0.9543485641479492)","(318, 0.9533520936965942)","(1631, 0.9521525502204895)"
137,"(15097, 0.7154261469841003)","(3309, 0.7141126990318298)","(3308, 0.706214427947998)","(3307, 0.6972861886024475)","(3306, 0.692582368850708)"
138,"(3529, 0.76984703540802)","(459, 0.6925602555274963)","(6071, 0.6849563121795654)","(1016, 0.6735727787017822)","(221, 0.6713148355484009)"
139,"(243, 0.7928968667984009)","(1016, 0.788713812828064)","(3529, 0.7837603688240051)","(1015, 0.7807376980781555)","(6330, 0.7791433334350586)"
140,"(28, 0.814949631690979)","(29, 0.8059216737747192)","(31, 0.7992798686027527)","(30, 0.79286789894104)","(840, 0.7480844259262085)"
141,"(809, 0.7418501973152161)","(1351, 0.6817067265510559)","(1350, 0.6749172806739807)","(9574, 0.6599688529968262)","(9575, 0.6479876637458801)"
142,"(8077, 0.9554805755615234)","(8078, 0.9506146311759949)","(2067, 0.9431590437889099)","(2950, 0.9403279423713684)","(8156, 0.9392549991607666)"
143,"(8077, 0.9607889652252197)","(8078, 0.9556547999382019)","(4025, 0.947701096534729)","(8156, 0.9468767046928406)","(2067, 0.9458091855049133)"
144,"(6288, 0.6398000717163086)","(6689, 0.6388416290283203)","(6289, 0.6364902853965759)","(1479, 0.6339868307113647)","(6690, 0.633699357509613)"
145,"(6288, 0.6446917653083801)","(6689, 0.6435283422470093)","(6289, 0.6409134268760681)","(1479, 0.6390180587768555)","(12886, 0.6381790637969971)"
146,"(6288, 0.641075611114502)","(6689, 0.6403644680976868)","(6289, 0.6376622915267944)","(1479, 0.6351081728935242)","(6690, 0.6351023316383362)"
147,"(6288, 0.6418851017951965)","(6689, 0.6404250264167786)","(6289, 0.6383751034736633)","(1479, 0.6354081034660339)","(12886, 0.6352235078811646)"
148,"(6288, 0.6484068632125854)","(6689, 0.6478766798973083)","(6289, 0.6448074579238892)","(1479, 0.643082857131958)","(6690, 0.6425113677978516)"
149,"(6288, 0.6428441405296326)","(6689, 0.64178866147995)","(6289, 0.6394121050834656)","(1479, 0.6374371647834778)","(6690, 0.6364327669143677)"
150,"(6288, 0.6405248045921326)","(6689, 0.6403288841247559)","(6289, 0.6371945738792419)","(6690, 0.6349949240684509)","(1479, 0.6346726417541504)"
151,"(6288, 0.6415782570838928)","(6689, 0.640737771987915)","(6289, 0.6381564140319824)","(1479, 0.6358736157417297)","(6690, 0.6353629231452942)"
152,"(1017, 0.9474567770957947)","(2216, 0.9430217146873474)","(1020, 0.9385086894035339)","(1019, 0.9383842349052429)","(1018, 0.9357330203056335)"
153,"(2216, 0.9445586800575256)","(1017, 0.9408756494522095)","(2214, 0.9341549277305603)","(1020, 0.9324085116386414)","(1680, 0.9305176138877869)"
154,"(760, 0.9924837350845337)","(571, 0.9902437925338745)","(572, 0.9875004291534424)","(761, 0.9867919087409973)","(16500, 0.9863384366035461)"
155,"(572, 0.9051264524459839)","(72, 0.8547324538230896)","(71, 0.8420379161834717)","(70, 0.8407090306282043)","(3803, 0.8152707815170288)"
156,"(14047, 0.6450552940368652)","(14046, 0.6442416906356812)","(2099, 0.6428996920585632)","(14048, 0.6425202488899231)","(7755, 0.6383174061775208)"
157,"(14047, 0.6450425386428833)","(14046, 0.6439764499664307)","(2099, 0.6425917148590088)","(14048, 0.6424596309661865)","(7755, 0.6385394930839539)"
158,"(14047, 0.6442207098007202)","(14046, 0.6433812379837036)","(2099, 0.6421039700508118)","(14048, 0.6418144702911377)","(15001, 0.6379233002662659)"
159,"(3088, 0.98311847448349)","(985, 0.982062578201294)","(10807, 0.9804537892341614)","(17385, 0.9794424772262573)","(10806, 0.9790856838226318)"
160,"(774, 0.7926030158996582)","(772, 0.7895333766937256)","(773, 0.7862740159034729)","(111, 0.7640348672866821)","(328, 0.7624651789665222)"
161,"(1340, 0.9217920303344727)","(536, 0.9052533507347107)","(2733, 0.8948277235031128)","(1729, 0.8939364552497864)","(1104, 0.892417848110199)"
162,"(3247, 0.9897921681404114)","(3249, 0.9893426299095154)","(3248, 0.9891955852508545)","(3246, 0.9883750677108765)","(9833, 0.9691284894943237)"
163,"(3247, 0.9883214831352234)","(3249, 0.987939715385437)","(3248, 0.9876312017440796)","(3246, 0.9869369864463806)","(9833, 0.9687323570251465)"
164,"(3247, 0.9862751364707947)","(3249, 0.9856930375099182)","(3248, 0.9852365851402283)","(3246, 0.9846780896186829)","(9833, 0.9629278779029846)"
165,"(3247, 0.9902844429016113)","(3249, 0.9897311329841614)","(3248, 0.9895813465118408)","(3246, 0.9885927438735962)","(9833, 0.9710789918899536)"
166,"(3247, 0.9882397651672363)","(3249, 0.9879360795021057)","(3248, 0.9874942898750305)","(3246, 0.9864885807037354)","(9833, 0.9682203531265259)"
167,"(3247, 0.9901700019836426)","(3249, 0.9897284507751465)","(3248, 0.9895092248916626)","(3246, 0.9888034462928772)","(9833, 0.9703816175460815)"
168,"(2098, 0.6567894220352173)","(2988, 0.655501663684845)","(2987, 0.6549704670906067)","(5636, 0.650851309299469)","(14524, 0.6499302983283997)"
169,"(4315, 0.6503753066062927)","(4316, 0.6476422548294067)","(15526, 0.6406315565109253)","(9912, 0.6398352384567261)","(1075, 0.639525830745697)"
170,"(4315, 0.650722086429596)","(4316, 0.6478971838951111)","(15526, 0.6421442031860352)","(1075, 0.640548050403595)","(5634, 0.6392853260040283)"
171,"(4315, 0.6493595838546753)","(4316, 0.6465204954147339)","(15526, 0.6415178775787354)","(9912, 0.6409074664115906)","(9911, 0.6403311491012573)"
172,"(1421, 0.944919228553772)","(1183, 0.9299606680870056)","(1184, 0.919526994228363)","(6600, 0.917986273765564)","(295, 0.9093618392944336)"
173,"(553, 0.946259617805481)","(552, 0.9398148655891418)","(1421, 0.9222342371940613)","(1163, 0.8962453007698059)","(1183, 0.8888710141181946)"
174,"(552, 0.9445661902427673)","(553, 0.943485677242279)","(1421, 0.9275978207588196)","(1163, 0.9033715128898621)","(1183, 0.8869094252586365)"
175,"(2098, 0.6855480670928955)","(5672, 0.6806338429450989)","(5671, 0.6765381097793579)","(4315, 0.6719834804534912)","(10785, 0.6717532873153687)"
176,"(2098, 0.6857010126113892)","(5672, 0.6813011169433594)","(5671, 0.6771759986877441)","(4315, 0.6719920039176941)","(711, 0.6710509061813354)"
177,"(2098, 0.6859962940216064)","(5672, 0.6809639930725098)","(5671, 0.676980197429657)","(10785, 0.6725949645042419)","(4315, 0.6724060773849487)"
178,"(328, 0.9960912466049194)","(10807, 0.9952598810195923)","(10806, 0.9946584105491638)","(680, 0.9935482740402222)","(4060, 0.9923206567764282)"
179,"(15526, 0.6439117789268494)","(12995, 0.6415201425552368)","(5671, 0.6399264931678772)","(959, 0.6388418078422546)","(15527, 0.6378723382949829)"
180,"(15526, 0.6453502178192139)","(12995, 0.6413589715957642)","(959, 0.6400092244148254)","(15527, 0.6391239762306213)","(5671, 0.6387094855308533)"
181,"(15526, 0.6459681391716003)","(12995, 0.6417315602302551)","(15527, 0.6399495601654053)","(5671, 0.639286994934082)","(959, 0.6388942003250122)"
